customer_name,customer_key,customer_location_key,delivery_address,customer_location_count,customer_key_is_ambiguous,customer_match_status,province,hcmc_district,region,latitude,longitude,distance_from_my_phuoc_km,distance_from_vinh_loc_km,Source Sheet
Chi Nhánh Liên Hiệp Hợp Tác Xã Thương Mại TP.Hồ Chí Minh - Co.opMart Chợ Mới,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH - CO.OPMART CHO MOI,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH - CO.OPMART CHO MOI | LO H1, H2-1, ĐUONG N6, KHU CONG NGHIEP LE MINH XUAN 3, XA LE MINH XUAN, HUYEN BINH CHANH, TP. HCM","Lô H1, H2-1, Đường N6, Khu Công Nghiệp Lê Minh Xuân 3, Xã Lê Minh Xuân, huyện Bình Chánh, TP. HCM",3,True,ambiguous_multi_location_customer,Ho Chi Minh City,Binh Chanh,HCMC,10.75,106.515,46.01415784111589,6.706576887833001,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HỒ CHÍ MINH- CO.OPMART BẾN TRE,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART BEN TRE,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART BEN TRE | ĐUONG SO 2 KCN SONG THAN 1, DI AN, BINH DUONG","Đường số 2 KCN Sóng Thần 1, Dĩ An, Bình Dương",4,True,ambiguous_multi_location_customer,Binh Duong,,Southeast / HCMC fringe,11.05,106.667,12.681954889846134,31.500912827113666,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HỒ CHÍ MINH- CO.OPMART BẾN TRE,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART BEN TRE,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART BEN TRE | ĐUONG SO 2, KCN SONG THAN, PHUONG DI AN, TP HO CHI MINH","Đường Số 2, KCN Sóng Thần, Phường Dĩ An,  TP Hồ Chí Minh",4,True,ambiguous_multi_location_customer,Ho Chi Minh City,HCMC unspecified,HCMC,10.776,106.701,42.85038075579038,14.889282161736565,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HỒ CHÍ MINH- CO.OPMART BẾN TRE,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART BEN TRE,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART BEN TRE | LO H1, H2-1, ĐUONG N6, KCN LE MINH XUAN 3, XA BINH LOI, TP.HCM","Lô H1, H2-1, đường N6, KCN Lê Minh Xuân 3, Xã Bình Lợi, TP.HCM",4,True,ambiguous_multi_location_customer,Ho Chi Minh City,HCMC unspecified,HCMC,10.776,106.701,42.85038075579038,14.889282161736565,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HỒ CHÍ MINH- CO.OPMART BẾN TRE,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART BEN TRE,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART BEN TRE | SO 7/20 ĐUONG ĐT 743, KHU PHO BINH ĐANG, PHUONG BINH HOA, TP.HCM","Số 7/20 Đường ĐT 743, khu phố Bình Đáng, phường Bình Hòa, TP.HCM",4,True,ambiguous_multi_location_customer,Ho Chi Minh City,HCMC unspecified,HCMC,10.776,106.701,42.85038075579038,14.889282161736565,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HỒ CHÍ MINH- CO.OPMART LA GI,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART LA GI,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART LA GI | ĐUONG SO 2 KCN SONG THAN 1, DI AN, BINH DUONG","Đường số 2 KCN Sóng Thần 1, Dĩ An, Bình Dương",3,True,ambiguous_multi_location_customer,Binh Duong,,Southeast / HCMC fringe,11.05,106.667,12.681954889846134,31.500912827113666,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HỒ CHÍ MINH- CO.OPMART LA GI,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART LA GI,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART LA GI | ĐUONG SO 2, KCN SONG THAN, PHUONG DI AN, TP HO CHI MINH","Đường Số 2, KCN Sóng Thần, Phường Dĩ An,  TP Hồ Chí Minh",3,True,ambiguous_multi_location_customer,Ho Chi Minh City,HCMC unspecified,HCMC,10.776,106.701,42.85038075579038,14.889282161736565,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HỒ CHÍ MINH- CO.OPMART LA GI,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART LA GI,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART LA GI | SO 7/20 ĐUONG ĐT 743, KHU PHO BINH ĐANG, PHUONG BINH HOA, TP.HCM","Số 7/20 Đường ĐT 743, khu phố Bình Đáng, phường Bình Hòa, TP.HCM",3,True,ambiguous_multi_location_customer,Ho Chi Minh City,HCMC unspecified,HCMC,10.776,106.701,42.85038075579038,14.889282161736565,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HỒ CHÍ MINH- CO.OPMART TÂN AN,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART TAN AN,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART TAN AN | ĐUONG SO 2 KCN SONG THAN 1, DI AN, BINH DUONG","Đường số 2 KCN Sóng Thần 1, Dĩ An, Bình Dương",4,True,ambiguous_multi_location_customer,Binh Duong,,Southeast / HCMC fringe,11.05,106.667,12.681954889846134,31.500912827113666,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HỒ CHÍ MINH- CO.OPMART TÂN AN,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART TAN AN,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH- CO.OPMART TAN AN | ĐUONG SO 2, KCN SONG THAN, PHUONG DI AN, TP HO CHI MINH","Đường Số 2, KCN Sóng Thần, Phường Dĩ An,  TP Hồ Chí Minh",4,True,ambiguous_multi_location_customer,Ho Chi Minh City,HCMC unspecified,HCMC,10.776,106.701,42.85038075579038,14.889282161736565,pivot
