source_warehouse,region,province,geography_source,shipment_lines,orders,customers,quantity,cbm_total
My Phuoc,Trung du và miền núi phía Bắc,Lào Cai,transaction_text_parse,17,6,2,56.0,3.5473128750000003
My Phuoc,Đồng bằng sông Hồng,Hưng Yên,transaction_text_parse,10,3,1,56.0,4.636627
My Phuoc,Đồng bằng sông Hồng,Bắc Ninh,distributor_match,5,2,1,54.0,3.2456500000000004
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Huế,distributor_match,22,4,1,45.75,2.1630335
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Quảng Ngãi,distributor_match,8,1,1,45.166666666666664,6.77718966
My Phuoc,Trung du và miền núi phía Bắc,Lạng Sơn,transaction_text_parse,11,5,2,44.0,2.652030833333334
My Phuoc,Trung du và miền núi phía Bắc,Thái Nguyên,transaction_text_parse,7,3,1,42.0,2.8968025
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Gia Lai,transaction_text_parse,34,16,3,40.983333333333334,4.186642325116667
Vinh Loc,Trung du và miền núi phía Bắc,Lào Cai,transaction_text_parse,22,9,3,34.166666666666664,2.44607857075
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Quảng Trị,transaction_text_parse,10,4,2,32.0,1.7819967166666668
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Hà Tĩnh,transaction_text_parse,11,4,1,30.0,1.7975688333333335
Vinh Loc,Trung du và miền núi phía Bắc,Phú Thọ,distributor_match,14,7,1,28.25,1.4646216666666667
Vinh Loc,Đồng bằng sông Cửu Long,An Giang,distributor_match,11,5,2,26.0,1.8168789166666668
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Nghệ An,distributor_match,9,3,2,21.333333333333336,1.3883209583333334
Vinh Loc,Trung du và miền núi phía Bắc,Tuyên Quang,transaction_text_parse,26,10,2,20.416666666666668,1.7181994166666668
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Huế,transaction_text_parse,16,7,3,18.650000000000002,1.3757989153666668
Vinh Loc,Trung du và miền núi phía Bắc,Thái Nguyên,transaction_text_parse,21,15,2,16.666666666666664,1.1848960541666667
Vinh Loc,Đông Nam Bộ,Tây Ninh,transaction_text_parse,16,8,3,14.016666666666666,1.5024726805500002
Vinh Loc,Đồng bằng sông Hồng,Quảng Ninh,transaction_text_parse,22,9,1,13.916666666666666,0.7997978958333334
Vinh Loc,Đồng bằng sông Cửu Long,Vĩnh Long,transaction_text_parse,14,5,3,13.083333333333332,1.2492745206666667
My Phuoc,Đồng bằng sông Hồng,Hải Phòng,distributor_match,3,2,1,12.0,0.6542916666666667
My Phuoc,Trung du và miền núi phía Bắc,Thái Nguyên,distributor_match,1,1,1,10.0,0.4675000000000001
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Quảng Ngãi,transaction_text_parse,12,9,1,9.166666666666666,1.2540829008333334
Vinh Loc,Đồng bằng sông Cửu Long,Cà Mau,distributor_match,6,4,2,9.0,1.117744
Vinh Loc,Đồng bằng sông Hồng,Hưng Yên,transaction_text_parse,18,10,1,8.916666666666666,0.63316775
Vinh Loc,Đồng bằng sông Hồng,Hải Phòng,distributor_match,6,3,2,8.416666666666666,0.8630446666666667
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Nghệ An,distributor_match,1,1,1,8.0,0.45081888
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Nghệ An,transaction_text_parse,10,6,1,7.583333333333333,0.50554175
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Hà Tĩnh,distributor_match,4,1,1,5.916666666666667,0.6302066666666667
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Quảng Trị,distributor_match,4,2,1,5.833333333333334,0.5906513333333334
Vinh Loc,Trung du và miền núi phía Bắc,Điện Biên,distributor_match,4,2,1,5.833333333333334,0.5906513333333333
Vinh Loc,Đồng bằng sông Cửu Long,Vĩnh Long,distributor_match,4,1,1,5.833333333333333,0.6013013333333334
Vinh Loc,Trung du và miền núi phía Bắc,Lào Cai,distributor_match,4,2,1,5.5,0.5838720000000001
Vinh Loc,Tây Nguyên,Lâm Đồng,distributor_match,4,1,1,5.333333333333333,0.5154113333333333
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Gia Lai,distributor_match,4,2,1,5.0,0.49798200000000004
Vinh Loc,Trung du và miền núi phía Bắc,Lạng Sơn,transaction_text_parse,11,5,1,4.791666666666666,0.367813125
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Hà Tĩnh,transaction_text_parse,5,2,1,3.5833333333333335,0.28822775
Vinh Loc,Trung du và miền núi phía Bắc,Sơn La,transaction_text_parse,4,2,1,3.416666666666667,0.19681374999999998
Vinh Loc,Đồng bằng sông Cửu Long,Cà Mau,transaction_text_parse,4,4,2,3.333333333333333,0.16230375000000002
