sku_code,product_name,category,quantity,quantity_share,quantity_cumulative_share,abc_quantity,order_frequency,frequency_share,frequency_cumulative_share,monthly_mean_quantity,monthly_std_quantity,demand_cv,monthly_nonzero_periods,xyz_low_sample_flag,xyz_frequency,abc_xyz_frequency,xyz_volatility,abc_xyz_volatility,fast_moving_flag,cbm_total,pcs_per_carton,pcs_per_pallet,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg
7211003300,Nồi lẩu điện H30FK802VN-136,SDA,76.0,0.00026978602456469646,0.9825881090031944,C,65,0.003125901702414158,0.7737808983360589,10.857142857142858,12.198750911856665,1.1235691629341664,5,0,Y,CY,Z,CZ,0,3.3464199168,5,75,0.0261439056,3.16,15.8
2100136212,"Nồi Inox cao cấp Tefal Duetto Plus, 18cm",CW,75.75,0.00026889857053652314,0.9828570075737308,C,41,0.0019717226122920074,0.8467827257862849,10.821428571428571,27.758900331588205,2.565178908529603,2,0,Y,CY,Z,CZ,0,3.193344,4,168,0.010752,1.5,6.0
2100132120,"Chảo nồi có nắp đa năng 3 trong 1 - 22cm, vàng",CW,65.75,0.00023340040940958938,0.9846200829097019,C,46,0.0022121765894007888,0.8340867557949411,9.392857142857142,24.41305027663532,2.599108014242544,2,0,Y,CY,Z,CZ,0,3.07671,4,112,0.0118335,1.75,7.0
7211419330,"Máy xay thực phẩm Tefal Choppeo MB603166 - 500W, 2L, cối thủy tinh",SDA,60.25,0.00021387642078977582,0.9852670368962403,C,34,0.0016350870443397135,0.876743291334039,8.607142857142858,13.51531318453962,1.5702438554651839,3,0,Y,CY,Z,CZ,0,3.04128,4,96,0.019008,2.125,8.5
7115900499,Chảo xào chống dính Comfort W06A32/32cm,CW,58.5,0.00020766424259256242,0.9854747011388328,C,31,0.0014908146580744446,0.8797730114456097,8.357142857142858,19.593183946027178,2.344483549097269,2,0,Y,CY,Z,CZ,0,2.090124625,6,180,0.006511291666666666,1.133333333333333,6.8
2100112226,Chảo chiên sâu lòng Tefal Cook Healthy 28cm,CW,58.5,0.00020766424259256242,0.9856823653814254,C,30,0.0014427238626526884,0.882658459170915,8.357142857142858,19.993153590071536,2.392343164623944,2,0,Y,CY,Z,CZ,0,2.5539780000000003,4,168,0.011662,1.4,5.6
7115900326,Chảo chống dính Everyway F09A-20cm,CW,57.9,0.0002055343529249464,0.9860937890688866,C,34,0.0016350870443397135,0.87183803020102,8.27142857142857,21.015447832940595,2.540727717281247,2,0,Y,CY,Z,CZ,0,2.0757,10,540,0.0037,0.5900000000000001,5.9
7115900500,Chảo xào chống dính Comfort W06A36/36cm,CW,56.833333333333336,0.00020174788240474013,0.9867002159881384,C,34,0.0016350870443397135,0.8702029431566803,8.119047619047619,21.48098088269108,2.6457513110645907,1,0,Y,CY,Z,CZ,0,2.626154666666667,6,180,0.007701333333333334,1.3,7.800000000000001
7115900974,"Chảo chiên Supor Star H23110-J26 đáy từ, 26cm, vàng",CW,49.5,0.00017571589757832206,0.9878240286058153,C,50,0.0024045397710878136,0.8152351639896128,7.071428571428571,18.272083833516298,2.583931047163921,2,0,Y,CY,Z,CZ,0,2.0058453333333337,6,270,0.006869333333333334,0.5,3.0
2100111903,Chảo chiên Tefal Natura 20cm,CW,43.833333333333336,0.00015560027293972628,0.9888309931097826,C,35,0.0016831778397614697,0.8685678561123407,6.261904761904762,13.188047739320753,2.1060760648344927,3,0,Y,CY,Z,CZ,0,0.8395950000000001,6,540,0.003765,0.5,3.0
