province,region,shipment_lines,orders,customers,quantity,cbm_total,quantity_rank,orders_rank,customers_rank,my_phuoc_orders,vinh_loc_orders,my_phuoc_quantity,vinh_loc_quantity,my_phuoc_quantity_share,vinh_loc_quantity_share,quantity_share_gap,dominance_intensity,dominant_warehouse
Thái Nguyên,Trung du và miền núi phía Bắc,26,16,3,134.0,7.113476554166667,39,36,34,6,10,122.0,12.0,0.9104477611940298,0.08955223880597014,0.8208955223880596,0.8208955223880596,My Phuoc
Bình Dương,Đông Nam Bộ,759,247,10,27622.166666666668,1787.5644663497667,2,4,6,164,83,25103.0,2519.1666666666665,0.9087990925162761,0.09120090748372381,0.8175981850325523,0.8175981850325523,My Phuoc
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,221,80,5,6290.175,320.24776671973336,10,14,21,40,40,5707.0,583.175,0.9072879530378726,0.09271204696212744,0.8145759060757451,0.8145759060757451,My Phuoc
Bắc Giang,Trung du và miền núi phía Bắc,129,41,4,1870.4166666666667,104.61438253833334,18,19,25,27,14,1682.0,188.41666666666666,0.8992648696814435,0.10073513031855647,0.798529739362887,0.798529739362887,My Phuoc
Hà Giang,Trung du và miền núi phía Bắc,14,7,1,29.25,2.1765535833333334,54,49,52,3,4,26.0,3.25,0.8888888888888888,0.1111111111111111,0.7777777777777777,0.7777777777777777,My Phuoc
Hà Nam,Đồng bằng sông Hồng,16,6,2,59.666666666666664,2.419758125,48,51,37,3,3,53.0,6.666666666666667,0.888268156424581,0.111731843575419,0.776536312849162,0.776536312849162,My Phuoc
Gia Lai,Tây Nguyên,153,36,4,320.98333333333335,15.407653366783334,29,20,26,20,16,280.0,40.983333333333334,0.8723194350693182,0.12768056493068175,0.7446388701386364,0.7446388701386364,My Phuoc
Đắk Lắk,Tây Nguyên,448,145,9,4280.75,234.7986612139167,14,8,8,95,50,3713.0,567.75,0.8673713718390469,0.1326286281609531,0.7347427436780938,0.7347427436780938,My Phuoc
Hưng Yên,Đồng bằng sông Hồng,28,13,1,64.91666666666667,5.26979475,47,40,53,3,10,56.0,8.916666666666666,0.8626444159178434,0.1373555840821566,0.7252888318356867,0.7252888318356867,My Phuoc
Ninh Bình,Đồng bằng sông Hồng,25,10,1,80.0,5.0502919791666665,45,45,56,5,5,69.0,11.0,0.8625,0.1375,0.7250000000000001,0.7250000000000001,My Phuoc
Nam Định,Đồng bằng sông Hồng,44,24,3,131.41666666666666,7.010354799583334,40,27,30,11,13,111.0,20.416666666666668,0.8446417247939125,0.15535827520608753,0.6892834495878251,0.6892834495878251,My Phuoc
Hòa Bình,Trung du và miền núi phía Bắc,773,123,7,3007.75,136.15129807453334,16,10,11,89,34,2363.0,644.75,0.7856371041476187,0.21436289585238136,0.5712742082952373,0.5712742082952373,My Phuoc
Yên Bái,Trung du và miền núi phía Bắc,40,18,6,250.16666666666666,15.486426070750001,32,33,15,4,14,191.0,59.166666666666664,0.7634910059960027,0.23650899400399733,0.5269820119920055,0.5269820119920055,My Phuoc
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,20,7,2,39.5,2.71600325,52,50,38,4,3,30.0,9.5,0.759493670886076,0.24050632911392406,0.518987341772152,0.518987341772152,My Phuoc
Hải Dương,Đồng bằng sông Hồng,24,11,2,55.833333333333336,3.351977479166667,50,43,39,3,8,42.0,13.833333333333332,0.7522388059701492,0.24776119402985072,0.5044776119402985,0.5044776119402985,My Phuoc
Bắc Ninh,Đồng bằng sông Hồng,31,14,1,57.416666666666664,3.55957715,49,39,50,5,9,43.0,14.416666666666666,0.748911465892598,0.251088534107402,0.49782293178519604,0.49782293178519604,My Phuoc
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,91,33,4,205.33333333333334,15.583617444166668,34,22,27,23,10,151.0,54.33333333333333,0.7353896103896104,0.2646103896103896,0.4707792207792208,0.4707792207792208,My Phuoc
Bà Rịa - Vũng Tàu,Đông Nam Bộ,27,15,5,140.75,9.316428986250001,38,37,16,2,13,100.0,40.75,0.7104795737122558,0.2895204262877442,0.42095914742451157,0.42095914742451157,My Phuoc
Vĩnh Phúc,Đồng bằng sông Hồng,19,13,1,34.833333333333336,2.2982400625,53,42,59,2,11,24.0,10.833333333333334,0.6889952153110047,0.31100478468899523,0.3779904306220095,0.3779904306220095,My Phuoc
Tuyên Quang,Trung du và miền núi phía Bắc,30,8,2,48.166666666666664,3.6352896666666665,51,47,47,2,6,31.0,17.166666666666668,0.643598615916955,0.356401384083045,0.28719723183391,0.28719723183391,My Phuoc
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,12,4,2,20.333333333333332,1.7578358541666668,56,57,43,1,3,10.0,10.333333333333334,0.49180327868852464,0.5081967213114754,-0.016393442622950782,0.016393442622950782,Vinh Loc
