sku_code,carton,loose,pallet,total_orders,pallet_share,carton_share,loose_share,avg_qty_per_order,baseline_pick_time_sec,pcs_per_carton,pcs_per_pallet,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg,ergonomic_penalty,abc_quantity,xyz_frequency,order_frequency,quantity,size_score_norm
2100088986,0,1,0,1,0.0,0.0,1.0,1.0,6.0,4,252,0.006839625,1.41,5.64,0,C,Z,1,1.0,0.5267885509632325
2100089647,0,1,0,1,0.0,0.0,1.0,1.0,6.0,10,,0.003168,0.6,6.0,0,C,Z,1,1.0,0.2439996534095832
2100091939,0,2,0,2,0.0,0.0,1.0,0.16666666666666666,6.0,6,378,0.0020655,0.3333333333333333,2.0,0,C,Z,2,0.3333333333333333,0.15908500129971406
2100102197,0,3,0,3,0.0,0.0,1.0,2.1875,6.0,32,,0.0002331875,0.03125,1.0,0,C,Z,3,6.5625,0.017960122847047722
2100102198,0,5,0,5,0.0,0.0,1.0,3.4799999999999995,6.0,10,,0.001066,0.1,1.0,0,C,Z,5,17.4,0.08210341872936103
2100102204,0,2,0,2,0.0,0.0,1.0,1.0,6.0,10,,0.0007980000000000001,,,1,C,Z,2,2.0,0.06146203390809578
2100104348,0,5,0,5,0.0,0.0,1.0,0.8666666666666668,6.0,6,,0.00162,0.3333333333333333,2.0,0,C,Z,5,4.333333333333333,0.12477255003899142
2100104350,0,1,0,1,0.0,0.0,1.0,0.16666666666666666,6.0,6,,0.00102,0.2,1.2,0,C,Z,1,0.16666666666666666,0.0785604944689946
2100104352,0,2,0,2,0.0,0.0,1.0,1.6666666666666665,6.0,6,,0.00162,0.3333333333333333,2.0,0,C,Z,2,3.333333333333333,0.12477255003899142
2100104354,0,7,0,7,0.0,0.0,1.0,0.9285714285714286,6.0,6,,0.00162,0.3333333333333333,2.0,0,C,Z,7,6.5,0.12477255003899142
2100107627,0,1,0,1,0.0,0.0,1.0,1.0,6.0,10,700,0.002184,0.2,2.0,0,C,Z,1,1.0,0.16821188227478845
2100110225,0,7,0,7,0.0,0.0,1.0,1.1428571428571428,6.0,4,144,0.01063125,1.375,5.5,0,C,Z,7,8.0,0.8188198596308812
2100110226,0,4,0,4,0.0,0.0,1.0,1.0,6.0,4,96,0.01288575,1.55,6.2,0,C,Z,4,4.0,0.9924616584351442
2100110227,1,7,0,8,0.0,0.125,0.875,1.1875,6.75,2,80,0.0196695,2.0,4.0,0,C,Z,8,9.5,1.5149467117234208
2100110228,1,1,0,2,0.0,0.5,0.5,9.5,9.0,3,105,0.01413333333333333,1.8,5.4,0,C,Z,2,19.0,1.0885506423154805
