sku_code,abc_class,xyz_class,zone_assignment,travel_contribution,rank_in_zone
1830008850,C,Z,Reserve / Bulk Zone,3,282
3100518438,C,Z,Reserve / Bulk Zone,3,283
7115900931,C,Z,Reserve / Bulk Zone,3,284
7115900915,C,Z,Reserve / Bulk Zone,3,285
7212000240,C,Z,Reserve / Bulk Zone,3,286
2100121741,C,Z,Reserve / Bulk Zone,3,287
4100000801,C,Z,Reserve / Bulk Zone,2,288
2100123087,C,Z,Reserve / Bulk Zone,2,289
2100124433,C,Z,Reserve / Bulk Zone,2,290
4200008267,C,Z,Reserve / Bulk Zone,2,291
2100110228,C,Z,Reserve / Bulk Zone,2,292
2100119885,C,Z,Reserve / Bulk Zone,2,293
7211005393,C,Z,Reserve / Bulk Zone,2,294
1830009016,C,Z,Reserve / Bulk Zone,2,295
8010000564,C,Z,Reserve / Bulk Zone,2,296
2100111898,C,Z,Reserve / Bulk Zone,2,297
2100131823,C,Z,Reserve / Bulk Zone,2,298
2100127801,C,Z,Reserve / Bulk Zone,2,299
7115900953,C,Z,Reserve / Bulk Zone,2,300
3100518436,C,Z,Reserve / Bulk Zone,2,301
7211005278,C,Z,Reserve / Bulk Zone,2,302
7115900877,C,Z,Reserve / Bulk Zone,2,303
7115900942,C,Z,Reserve / Bulk Zone,2,304
7115900950,C,Z,Reserve / Bulk Zone,2,305
2100120186,C,Z,Reserve / Bulk Zone,2,306
7211419374,C,Z,Reserve / Bulk Zone,2,307
1830007574,C,Z,Reserve / Bulk Zone,2,308
2100104352,C,Z,Reserve / Bulk Zone,2,309
2100110230,C,Z,Reserve / Bulk Zone,2,310
7212000246,C,Z,Reserve / Bulk Zone,2,311
7114900002,C,Z,Reserve / Bulk Zone,2,312
7211003692,C,Z,Reserve / Bulk Zone,2,313
2100119880,C,Z,Reserve / Bulk Zone,2,314
7114000638,C,Z,Reserve / Bulk Zone,2,315
2211401354,C,Z,Reserve / Bulk Zone,2,316
1510001871,C,Z,Reserve / Bulk Zone,2,317
7211003278,C,Z,Reserve / Bulk Zone,2,318
7114000489,C,Z,Reserve / Bulk Zone,2,319
2100102204,C,Z,Reserve / Bulk Zone,2,320
2100113152,C,Z,Reserve / Bulk Zone,2,321
2100113162,C,Z,Reserve / Bulk Zone,2,322
2100114151,C,Z,Reserve / Bulk Zone,2,323
2100120184,C,Z,Reserve / Bulk Zone,2,324
2100125859,C,Z,Reserve / Bulk Zone,2,325
