sku_code,sap_code,sap_code_2,updated_date,sku_row_no,type,com_code,product_name,unit,category,pcs_per_carton,carton_length_mm,carton_width_mm,carton_height_mm,pcs_per_pallet,cartons_per_layer,layers_per_pallet,loose_pcs_per_pallet,volume_m3,carton_volume_from_dims_m3,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg,pallet_base_pcs_capacity,weight_conflict_flag,imputation_notes
7115900796,,7115900796,,58,CW,H18202-J26,Chảo chống dính  Ruby IH H18202-J26  26 cm,CÁI,CW,6,455,295,315,288,,,0,,0.042280875,0.0070468125,1.1,6.6,,0,
7115900798,,7115900798,,59,CW,H18202-T18,Nồi chống dính  Ruby IH H18202-T18 18 cm,CÁI,CW,4,400,285,270,216,,,0,,0.03078,0.007695,1.2,4.8,,0,
7115900799,,7115900799,,60,CW,H18202-T20,Nồi chống dính  Ruby IH H18202-T20 20 cm,CÁI,CW,4,450,360,265,168,,,0,,0.04293,0.0107325,1.35,5.4,,0,
7115900800,,7115900800,,61,CW,H18202-T24,Nồi chống dính  Ruby IH H18202-T24 24 cm,CÁI,CW,4,530,390,265,200,10,5,0,,0.0547755,0.013693875,1.8,7.2,200,0,loose_pcs_from_pallet_residual
7115900801,,7115900801,,62,CW,H18203-J22,Chảo chống dính  Affinity IH H18203-J22 22 cm,CÁI,CW,14,460,290,315,560,,,0,,0.042021,0.0030015,0.6,8.4,,0,
7115900802,,7115900802,,63,CW,H18203-J24,Chảo chống dính  Affinity IH H18203-J24 24 cm,CÁI,CW,14,495,315,320,350,,,0,,0.049896,0.003564,0.714,10.0,,1,
7115900805,,7115900805,,64,CW,H18203-T18,Nồi chống dính  Affinity IH H18203-T18 18 cm,CÁI,CW,4,400,285,250,280,,,0,,0.0285,0.007125,1.175,4.7,,0,
7115900806,,7115900806,,65,CW,H18203-T20,Nồi chống dính  Affinity IH H18203-T20 20 cm,CÁI,CW,4,450,360,265,168,,,0,,0.04293,0.0107325,1.35,5.4,,0,
7115900807,,7115900807,,66,CW,H18203-T24,Nồi chống dính  Affinity IH H18203-T24 24 cm,CÁI,CW,4,530,390,265,140,,,0,,0.0547755,0.013693875,1.8,7.2,,0,
7115900809,,7115900809,,67,CW,H18203-J24A,Chảo chống dính  Affinity IH H18203-J24A 24 cm,CÁI,CW,14,495,315,320,490,,,0,,0.049896,0.003564,0.714,10.0,,1,
7115900810,,7115900810,,68,CW,H18203-J26A,Chảo chống dính  Affinity IH H18203-J26A 26 cm,CÁI,CW,14,540,335,330,490,,,0,,0.059697,0.004264071428571429,0.814,11.4,,1,
7115900813,,7115900813,,69,CW,H18203-T20A,Nồi chống dính  Affinity IH H18203-T20A 20 cm,CÁI,CW,4,450,360,265,144,,,0,,0.04293,0.0107325,1.35,5.4,,0,
7115900824,,7115900824,,70,CW,H18203-J26D,Chảo chống dính  Affinity IH H18203-J26D 26 cm,CÁI,CW,14,540,335,330,350,,,0,,0.059697,0.004264071428571429,0.814,11.4,,1,
7115900825,,7115900825,,71,CW,H18204-J22,Chảo chống dính  Affinity  H18204-J22 22 cm,CÁI,CW,14,460,290,315,560,,,0,,0.042021,0.0030015,0.543,7.6,,1,
7115900826,,7115900826,,72,CW,H18204-J24,Chảo chống dính  Affinity  H18204-J24 24 cm,CÁI,CW,14,495,315,320,490,,,0,,0.049896,0.003564,0.614,8.6,,1,
7115900827,,7115900827,,73,CW,H18204-J26,Chảo chống dính Affinity  H18204-J26 26 cm,CÁI,CW,14,540,335,330,350,,,0,,0.059697,0.004264071428571429,0.679,9.5,,1,
7115900828,,7115900828,,74,CW,H18204-T18,Nồi chống dính  Affinity  H18204-T18 18 cm,CÁI,CW,4,400,285,250,280,,,0,,0.0285,0.007125,1.1,4.4,,0,
7115900829,,7115900829,,75,CW,H18204-T20,Nồi chống dính  Affinity  H18204-T20 20 cm,CÁI,CW,4,450,360,265,144,6,6,0,,0.04293,0.0107325,1.325,5.3,144,0,
7115900830,,7115900830,,76,CW,H18204-T24,Nồi chống dính  Affinity  H18204-T24 24 cm,CÁI,CW,4,530,390,265,140,,,0,,0.0547755,0.013693875,1.7,6.8,,0,
7115900836,,7115900836,,77,CW,H18203-T18A,Nồi chống dính  Affinity IH H18203-T18A 18 cm,CÁI,CW,4,400,285,250,251,,,0,,0.0285,0.007125,1.175,4.7,,0,
7115900840,,7115900840,,78,CW,H18203-SJ28C,Chảo chống dính sâu lòng Affinity IH H18203-SJ28C 28 cm,CÁI,CW,3,535,310,245,126,,,0,,0.04063325,0.01354441666666667,,,,0,
7115900842,,7115900842,,79,CW,H18203-T20C,Nồi chống dính  Affinity IH H18203-T20C 20 cm,CÁI,CW,4,450,360,265,168,,,0,,0.04293,0.0107325,1.35,5.4,,0,
